CIRCUMSTANCES,COMMENT,DEATH DESCRIPTION,CLASSIFICATION,Activity,Place?,% Classified,24.84%
Misunderstanding,Perps fled,"Misunderstanding, Perps fled",,,,,
Lovers quarrel,,"Lovers quarrel, ",Couple fight,,,,
lovers quarrel,.32 revolver,"lovers quarrel, .32 revolver",Couple fight,,,,
Drinking Tent (saloon),Perp fled,"Drinking Tent (saloon), Perp fled",,,Saloon,,
Trussed,Perp never identified,"Trussed, Perp never identified",,,,,
Saloon affray,Suspect acquitted at trial,"Saloon affray, Suspect acquitted at trial",,,Saloon,,
Stabbed 24 times,Perp never identified,"Stabbed 24 times, Perp never identified",,,,,
Brothel (saloon),Accomplice arrested,"Brothel (saloon), Accomplice arrested",,,Saloon,,
quarrel,Suspect jumped bail,"quarrel, Suspect jumped bail",,,,,
Quarrel in Street,,"Quarrel in Street, ",,,,,
Brothel (saloon),,"Brothel (saloon), ",,,Saloon,,
lovers quarell,buried Marin,"lovers quarell, buried Marin",Couple fight,,,,
,Man arrested,", Man arrested",,,,,
Affray,Perp never identified,"Affray, Perp never identified",,,,,
shot crimp,,"shot crimp, ",,,,,
Brothel (saloon),perp fled,"Brothel (saloon), perp fled",,,Saloon,,
Warrant issued,Killer punish Martinez 1852,"Warrant issued, Killer punish Martinez 1852",,,,,
Saloon dispute,,"Saloon dispute, ",,,Saloon,,
gamble dispute,Perp fled,"gamble dispute, Perp fled",,Gamble,,,
Gamble dispute,Perp fled,"Gamble dispute, Perp fled",,Gamble,,,
Ship dispute,,"Ship dispute, ",,,,,
10 year old,discharged as too young,"10 year old, discharged as too young",,,,,
lovers quarrel,22 revolver,"lovers quarrel, 22 revolver",Couple fight,,,,
lovers quarrel,38 revolv,"lovers quarrel, 38 revolv",Couple fight,,,,
Drinking Saloon,no further beyond arrest,"Drinking Saloon, no further beyond arrest",,,Saloon,,
imprompt duel,bailed on manslaughter,"imprompt duel, bailed on manslaughter",,,,,
Headless Floater,no perp ided,"Headless Floater, no perp ided",,,,,
lovers quarrell,,"lovers quarrell, ",Couple fight,,,,
